submit_time,duration,source,source_detail,age_group,gender,daily_usage,know_manjiao,know_channel,watch_content,content_type,attitude,notice_teen,teen_age,teen_usage,teen_share,teen_prefer,teen_imitate_general,teen_mood,teen_escape,teen_social_less,teen_online_interact,teen_manjiao_exp,teen_imitate,guardian_restrict,impact_judge,regulation_suff,support_regulation,algo_exposure,impact_text,suggest_text,duration_sec,know_channel_A,know_channel_B,know_channel_C,know_channel_D,content_type_A,content_type_B,content_type_C,content_type_D,teen_prefer_A,teen_prefer_B,teen_prefer_C,teen_prefer_D,teen_prefer_E,age_group_code,gender_code,daily_usage_code,know_manjiao_code,watch_content_code,attitude_code,notice_teen_code,teen_usage_code,teen_share_code,teen_imitate_general_code,teen_mood_code,teen_escape_code,teen_social_less_code,teen_online_interact_code,teen_manjiao_exp_code,teen_imitate_code,guardian_restrict_code,impact_judge_code,regulation_suff_code,support_regulation_code,algo_exposure_code,teen_mood_score,teen_escape_score,teen_social_less_score,teen_online_interact_score,teen_manjiao_exp_score,teen_imitate_score,teen_imitate_general_score,risk_score,imitate_increment
2025/3/12 17:47:22,149秒,微信,,D. 18岁以上  ,B. 女,A. 少于1小时,B. 了解一些,B. 朋友或同学┋C. 新闻报道,B. 偶尔观看,B. 低俗或猎奇行为（如吃地果、擦边、未成年怀孕、老幼恋爱视频等）,E. 非常反感,B. 否,,,,,,,,,,,,,B. 消极影响更多,C. 不够,A. 非常支持,A. 是,三观扭曲，早熟,加强快手平台的内容审核,149,0,1,1,0,0,1,0,0,0,0,0,0,0,D,B,A,B,B,E,B,,,,,,,,,,,B,C,A,A,,,,,,,,0.0,0
2025/3/12 17:53:09,278秒,微信,,D. 18岁以上  ,B. 女,A. 少于1小时,B. 了解一些,A. 快手等短视频平台┋B. 朋友或同学,C. 从未观看,A. 慢节奏生活（如手工、园艺等）,E. 非常反感,B. 否,,,,,,,,,,,,,B. 消极影响更多,C. 不够,A. 非常支持,B. 否,对他们造成不正确的思想引导,减少低俗类视频的流量,278,1,1,0,0,1,0,0,0,0,0,0,0,0,D,B,A,B,C,E,B,,,,,,,,,,,B,C,A,B,,,,,,,,0.0,0
2025/3/12 17:56:35,199秒,微信,,C. 16-18岁  ,B. 女,B. 1-2小时,D. 完全不了解,D. 其他（请注明）〖不了解〗,C. 从未观看,A. 慢节奏生活（如手工、园艺等）,C. 中立,A. 是,15-18岁,B. 1-2小时,A. 经常,A. 搞笑类,B. 偶尔模仿,B. 否,B. 否,B. 否,B. 否,B. 否,D. 从不模仿,B. 否,C. 既有积极也有消极影响,C. 不够,A. 非常支持,A. 是,沉迷,无,199,0,0,0,1,1,0,0,0,1,0,0,0,0,C,B,B,D,C,C,A,B,A,B,B,B,B,B,B,D,B,C,C,A,A,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0
2025/3/12 17:57:46,119秒,微信,,D. 18岁以上  ,B. 女,C. 2-4小时,C. 听说过但不了解,B. 朋友或同学,C. 从未观看,A. 慢节奏生活（如手工、园艺等）,C. 中立,A. 是,10岁以下,B. 1-2小时,A. 经常,B. 低俗类,A. 经常模仿,A. 是（如易怒、焦虑、抑郁）,B. 否,C. 不确定,A. 是,A. 是,A. 经常模仿,A. 是,B. 消极影响更多,C. 不够,A. 非常支持,B. 否,(空),(空),119,0,1,0,0,1,0,0,0,0,1,0,0,0,D,B,C,C,C,C,A,B,A,A,A,B,C,A,A,A,A,B,C,A,B,,0.0,0.5,1.0,1.0,1.0,1.0,3.5,0
2025/3/12 18:05:12,168秒,微信,,D. 18岁以上  ,B. 女,B. 1-2小时,B. 了解一些,A. 快手等短视频平台,C. 从未观看,B. 低俗或猎奇行为（如吃地果、擦边、未成年怀孕、老幼恋爱视频等）┋C. 负能量相关内容（死亡妆容、引导自残、自杀等内容）,E. 非常反感,A. 是,10岁以下,B. 1-2小时,B. 偶尔,A. 搞笑类,B. 偶尔模仿,C. 不确定,C. 不确定,C. 不确定,C. 不确定,B. 否,C. 很少模仿,A. 是,B. 消极影响更多,C. 不够,A. 非常支持,C. 不确定,(空),(空),168,1,0,0,0,0,1,1,0,1,0,0,0,0,D,B,B,B,C,E,A,B,B,B,C,C,C,C,B,C,A,B,C,A,C,0.5,0.5,0.5,0.5,0.0,0.3333333333333333,0.6666666666666666,2.3333333333333335,0
2025/3/12 18:07:04,94秒,微信,,D. 18岁以上  ,B. 女,D. 4小时以上,A. 非常了解,A. 快手等短视频平台,A. 经常观看,D.其他,A. 非常喜欢,A. 是,15-18岁,A. 少于1小时,A. 经常,A. 搞笑类,A. 经常模仿,A. 是（如易怒、焦虑、抑郁）,A. 是,A. 是,A. 是,A. 是,A. 经常模仿,A. 是,A. 积极影响更多,A. 非常足够,A. 非常支持,A. 是,(空),(空),94,1,0,0,0,0,0,0,1,1,0,0,0,0,D,B,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0
2025/3/12 18:08:21,140秒,微信,,D. 18岁以上  ,A. 男,B. 1-2小时,C. 听说过但不了解,C. 新闻报道,C. 从未观看,A. 慢节奏生活（如手工、园艺等）,D. 不太喜欢,A. 是,15-18岁,D. 3小时以上,A. 经常,A. 搞笑类,C. 很少模仿,B. 否,B. 否,B. 否,B. 否,B. 否,D. 从不模仿,C. 不确定,B. 消极影响更多,C. 不够,A. 非常支持,B. 否,在青少年没有养成正确价值观时期，这样的文化，只会扭曲对于事件的理解与认知,严格监管,140,0,0,1,0,1,0,0,0,1,0,0,0,0,D,A,B,C,C,D,A,D,A,C,B,B,B,B,B,D,C,B,C,A,B,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0
2025/3/12 18:10:02,74秒,微信,,D. 18岁以上  ,B. 女,D. 4小时以上,B. 了解一些,A. 快手等短视频平台,C. 从未观看,B. 低俗或猎奇行为（如吃地果、擦边、未成年怀孕、老幼恋爱视频等）┋C. 负能量相关内容（死亡妆容、引导自残、自杀等内容）,E. 非常反感,A. 是,10岁以下,B. 1-2小时,C. 很少,A. 搞笑类,B. 偶尔模仿,C. 不确定,C. 不确定,C. 不确定,B. 否,C. 不确定,C. 很少模仿,A. 是,B. 消极影响更多,D. 完全不够,A. 非常支持,A. 是,不良引导,平台加强管制,74,1,0,0,0,0,1,1,0,1,0,0,0,0,D,B,D,B,C,E,A,B,C,B,C,C,C,B,C,C,A,B,D,A,A,0.5,0.5,0.5,0.0,0.5,0.3333333333333333,0.6666666666666666,2.3333333333333335,0
2025/3/12 18:13:10,328秒,微信,,C. 16-18岁  ,B. 女,C. 2-4小时,B. 了解一些,B. 朋友或同学,C. 从未观看,B. 低俗或猎奇行为（如吃地果、擦边、未成年怀孕、老幼恋爱视频等）,E. 非常反感,B. 否,,,,,,,,,,,,,B. 消极影响更多,D. 完全不够,A. 非常支持,C. 不确定,(空),(空),328,0,1,0,0,0,1,0,0,0,0,0,0,0,C,B,C,B,C,E,B,,,,,,,,,,,B,D,A,C,,,,,,,,0.0,0
2025/3/12 18:13:27,67秒,微信,,D. 18岁以上  ,B. 女,A. 少于1小时,C. 听说过但不了解,A. 快手等短视频平台┋B. 朋友或同学,C. 从未观看,B. 低俗或猎奇行为（如吃地果、擦边、未成年怀孕、老幼恋爱视频等）┋C. 负能量相关内容（死亡妆容、引导自残、自杀等内容）,E. 非常反感,A. 是,10岁以下,B. 1-2小时,B. 偶尔,B. 低俗类,A. 经常模仿,A. 是（如易怒、焦虑、抑郁）,A. 是,A. 是,A. 是,A. 是,A. 经常模仿,A. 是,B. 消极影响更多,D. 完全不够,A. 非常支持,A. 是,(空),(空),67,1,1,0,0,0,1,1,0,0,1,0,0,0,D,B,A,C,C,E,A,B,B,A,A,A,A,A,A,A,A,B,D,A,A,,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0
2025/3/12 18:15:27,111秒,微信,,D. 18岁以上  ,A. 男,B. 1-2小时,B. 了解一些,A. 快手等短视频平台,B. 偶尔观看,A. 慢节奏生活（如手工、园艺等）,D. 不太喜欢,A. 是,13-15岁,D. 3小时以上,A. 经常,D. 生活类,A. 经常模仿,B. 否,B. 否,B. 否,B. 否,B. 否,B. 偶尔模仿,B. 否,B. 消极影响更多,B. 比较足够,A. 非常支持,A. 是,无,无,111,1,0,0,0,1,0,0,0,0,0,0,1,0,D,A,B,B,B,D,A,D,A,A,B,B,B,B,B,B,B,B,B,A,A,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0
