weibo_time,weibo_like,anon_id,weibo_text_clean
2023/1/16,3,user001,5732你是想让谁来教文化课没长大的小屁孩or从小耍马戏的娱乐圈花瓶or爱看慢脚视频的土味小商贩？
2023/1/17,0,user002,慢脚文化我真的搞不懂要吐了
2023/1/19,12,user003,棉花美娃娃超话慢脚真是物种多样性啊图①～②什么叫1～18岁都可以拍，难道成年了就不能玩娃吗图③：真的最怕圈子在抖音快手这些平台火了，一堆没有了解的小学生就跟风买，买了还不承认，29娃丑“娃妈”更丑
2023/1/24,0,user004,深陷慢脚文化 我爱土味视频
2023/1/27,0,user005,慢脚文化不用p 直接去许锄痘印截一个就行
2023/1/30,2,user006,天呐我真的看不懂现在的慢脚文化了刷到好多16 17岁还在读书的年龄就怀上了孕 评论区还有很多相同情况的人打卡自己的怀孕天数还有彩礼3w8就嫁过去还觉得很幸福的。。。可能我不懂爱情吧
2023/1/31,2,user007,不是我不李姐这就是慢脚文化吗
2023/2/1,0,user008,成年高校晨一出来氛围秒变慢脚文化
2023/2/2,,user009,什么b慢脚文化//:感觉在看快手
2023/2/11,598,user010,"琼人，但是画画，学了艺术，家里情况是欠了几十万房贷，妈妈一月3000爸爸两年没开工资了，但是他不去找别的工作，存款几乎为0，都是找亲戚接，奶奶攒钱不多出因为要给弟弟买房，豹豹猫猫和弟和我住在小城市里的80平两室老式小区里，过着幸福的生活。豹豹猫猫对我很好，让我去学了，画 展开,9417【投稿】琼人，但是❤️画画，学了艺术，家里情况是欠了几十万房贷，妈妈一月3000爸爸两年没开工资了，但是他不去找别的工作，存款几乎为0，都是找亲戚接，奶奶攒钱不多出因为要给弟弟买房，豹豹猫猫和弟和我住在小城市里的80平两室老式小区里，过着幸福的生活。豹豹猫猫对我很好，让我去学了，画室最开始说6w最后要了8w，（同学说要去的，他说他家穷这个算便宜了我就跟着去了，结果他家有厂）家里到处借钱让我去学，爷爷住院也不会告诉我，我和爷爷视频电话的时候都能看到他瘦了很多，特别特别难受，所以导致了我集训的八个月内压力特别大，我刚去第二周就嚷嚷要退学了，开销。。。可是学校非要留我，说钱的事学校解决，呵呵，到最后也一分没少收我的。因为穷所以一花大钱就变得很苛刻，不能买不值。集训期间没怎么靠老师教，教的太烂，太年轻特别飘，我在这期间内特别想4⃣️爱发疯，经常哭，大吃特吃，失眠，撕画撞墙，耽误了一个多月，最后勉强考了270多，（因为我每科都能90+但是每次都有一科80多）不过也够上大学了，but！鼠是一个没上过补习班的人，小时候家里家长忙根本不会管饱饱，基础差，笨，连复数题都不会算，家里又到处借钱凑了两万让我上文化机构，我觉得这简直是浪费啊啊啊我那么笨，压力很大，花空家里学的美术，不想辜负，可是我一考试就懵逼了，什么都不会，背的想不起来，英语语法怎么讲都记不住，我还该不该上大学，或者说能不能上大学，或者怎么学习，或者怎么领一些扶贫的救济金之类的（不知道爸妈同不同意我申请，因为他们有点要面子，我一说穷就骂我，可是我的零花钱都是我自己赚的，他们穿的衣服都是慢脚直播间十块二十抢的，却给我买100的贵衣服，后悔学美术，家里太难了），帮帮饱饱 收起"
